IDX,LON,LAT,ENTRY_EXIT,EXIT_NUM,INTERCHANGE,FACILITY_TYPE,FACILITY_NAME,STATEID,FAFID
2,-132.97504856080826,56.807013444149185,,,,,,0,0
3,-132.97617256163784,56.80849244372138,,,,,,0,0
5,-132.9601485600251,56.80941244626259,,,,,,0,0
6,-132.6638214796106,56.712388490122,,,,,,0,0
10,-132.95739756019734,56.811096446656485,,,,,,0,0
11,-132.93963156445025,56.822556448997744,,,,,,0,0
12,-132.93683955563145,56.806716449543565,,,,,,0,0
13,-132.935063555772,56.806240450166364,,,,,,0,0
16,-132.0804938203008,55.4260925797766,,,,,,0,0
18,-131.60017370367993,55.287798648186595,,,,,,0,0
20,-131.80132779484967,55.44269361934256,,,,,,0,0
21,-131.78965080647382,55.4716606212978,,,,,,0,0
22,-131.770811782103,55.42150562364322,,,,,,0,0
23,-131.73385176036123,55.38142562904509,,,,,,0,0
24,-131.7212887708072,55.40869263065772,,,,,,0,0
25,-131.72449781531012,55.51014563019646,,,,,,0,0
26,-131.70989974727712,55.357368632654655,,,,,,0,0
27,-131.70707874623082,55.35655263279997,,,,,,0,0
28,-131.70929674685445,55.35692363253229,,,,Airport-Terminal Location,KETCHIKAN INTL,0,0
29,-131.70267874676523,55.359004633259005,,,,,,0,0
30,-131.7017327462109,55.358895633676056,,,,,,0,0
31,-131.70128374667232,55.35978663391341,,,,,,0,0
32,-131.70017574663459,55.359446634061754,,,,,,0,0
34,-131.6938077440957,55.35479563483173,,,,,,0,0
35,-131.69263874395858,55.3556406348675,,,,,,0,0
36,-131.6917887436637,55.35520763521351,,,,,,0,0
37,-131.6892267430835,55.35397663522485,,,,,,0,0
38,-131.6922107443364,55.355423635168165,,,,,,0,0
39,-131.64758973264654,55.34182764133119,,,,,,0,0
40,-131.6897117426071,55.353680635442984,,,,Seaport,KETCHIKAN,0,0
41,-131.64284473250115,55.341875642090585,,,,,,0,0
42,-131.63697573062782,55.33921764261712,,,,,,0,0
43,-131.58700871262977,55.31190864997497,,,,,,0,0
47,-131.5757825931866,55.03706065109605,,,,,,0,0
48,-131.5695296298013,55.125665652037405,,,,,,0,0
49,-131.54665062378132,55.117107655323224,,,,,,0,0
50,-131.5600576901393,55.2667336534436,,,,,,0,0
51,-131.5470926245455,55.118083655526775,,,,,,0,0
52,-131.5355266993798,55.29468565685404,,,,,,0,0
53,-131.51130171253533,55.33263466032674,,,,,,0,0
54,-130.02464978643795,55.91498987222408,,,,,,0,0
55,-130.03695284756625,56.04633987132751,,,,,,0,0
57,-131.19388409906801,60.000033683579424,,,,,,0,0
58,-128.54574872493626,59.99997309087225,,,,,,0,0
59,-127.86817062012733,60.00005419433593,,,,,,0,0
60,-127.69107759302564,60.00006422131318,,,,,,0,0
61,-120.2715821532396,55.77789821597559,,,,,,0,0
62,-120.00009597696771,55.48065624216918,,,,,,0,0
63,-118.82060162099877,55.170624385477204,,,,,,0,0
64,-120.2258061362664,55.758727221546366,,,,,,0,0
65,-120.22485213531611,55.758516221444914,,,,,,0,0
66,-120.22464513562689,55.7579432216024,,,,,,0,0
67,-120.22442313586903,55.758454221454414,,,,,,0,0
260,-135.4453941241983,59.235025036177554,,,,,,0,0
261,-135.44397612633577,59.2390240363966,,,,,,0,0
262,-135.43333812672256,59.24124403798676,,,,,,0,0
263,-135.46258015322488,59.280904032508154,,,,,,0,0
264,-135.38657208096632,59.17053004658633,,,,,,0,0
266,-135.34703406324243,59.1468630534237,,,,,,0,0
