STFIP,COFIP,NAME,ST,LON,LAT,POP,ALAND,AWATER,CBSA
5,93,Mississippi,AR,-90.001606,35.843368,40685,902.093,27.886,14180
5,101,Newton,AR,-93.165658,35.982591,7225,821.072,2.292,25460
5,103,Ouachita,AR,-92.838686,33.573847,22650,732.721,7.022,15780
5,105,Perry,AR,-92.777667,34.998711,10019,551.377,9.432,30780
5,111,Poinsett,AR,-90.558401,35.604751,22965,758.295,5.364,27860
5,115,Pope,AR,-93.096833,35.309054,63381,811.128,19.84,40780
5,119,Pulaski,AR,-92.315081,34.775246,399125,758.308,49.031,30780
5,123,St. Francis,AR,-90.774948,35.016355,23090,634.784,7.729,22620
5,125,Saline,AR,-92.546119,34.596991,123416,723.532,6.933,30780
5,131,Sebastian,AR,-94.354788,35.318718,127799,531.182,13.071,22900
5,139,Union,AR,-92.65198,33.207421,39054,1039.067,16.256,20980
5,143,Washington,AR,-94.172336,36.09592,245871,941.471,10.79,22220
5,145,White,AR,-91.773595,35.239408,76822,1034.079,7.936,42620
5,149,Yell,AR,-93.28293,35.127752,20263,930.211,17.908,40780
6,1,Alameda,CA,-122.098766,37.706599,1682353,737.462,83.747,41860
6,3,Alpine,CA,-119.847822,38.728485,1204,738.34,4.848,23820
6,7,Butte,CA,-121.72651,39.658926,211632,1636.49,40.641,17020
6,13,Contra Costa,CA,-122.024961,37.93501,1165927,716.929,86.981,41860
6,15,Del Norte,CA,-124.164236,41.790833,27743,1006.228,223.454,18860
6,17,El Dorado,CA,-120.761446,38.741021,191185,1707.85,78.511,40900
6,19,Fresno,CA,-119.765291,36.743848,1008654,5958.383,52.745,23420
6,23,Humboldt,CA,-124.088127,40.757636,136463,3568.188,484.066,21700
6,25,Imperial,CA,-115.540049,32.841599,179702,4175.539,305.104,20940
6,27,Inyo,CA,-118.268567,37.171422,19016,10197.261,29.838,13860
6,29,Kern,CA,-118.941786,35.369809,909235,8134.646,30.273,12540
6,31,Kings,CA,-119.726922,36.252657,152486,1390.972,1.222,25260
6,33,Lake,CA,-122.732922,38.976233,68163,1256.551,72.876,17340
6,35,Lassen,CA,-120.584467,40.393749,32730,4541.34,178.775,45000
6,37,Los Angeles,CA,-118.24599,34.067886,10014009,4059.282,690.158,31080
6,39,Madera,CA,-120.009796,37.037074,156255,2136.918,16.321,23420
6,41,Marin,CA,-122.546657,37.986474,262321,520.423,307.753,41860
6,45,Mendocino,CA,-123.394154,39.285646,91601,3506.824,371.33,46380
6,47,Merced,CA,-120.628944,37.274812,281202,1938.004,40.648,32900
6,53,Monterey,CA,-121.646692,36.614681,439035,3281.723,489.498,41500
6,55,Napa,CA,-122.319983,38.325108,138019,748.279,40.256,34900
6,57,Nevada,CA,-120.915206,39.220021,102241,957.76,16.036,46020
6,59,Orange,CA,-117.858773,33.732683,3186989,792.841,156.871,31080
6,61,Placer,CA,-121.198379,38.839708,404739,1407.075,95.161,40900
6,65,Riverside,CA,-117.076969,33.799274,2418185,7209.269,93.901,40140
6,67,Sacramento,CA,-121.381235,38.568337,1585055,965.271,29.091,40900
6,69,San Benito,CA,-121.402614,36.843074,64209,1388.652,1.822,41940
6,71,San Bernardino,CA,-117.359766,34.190969,2181654,20068.011,37.223,40140
6,73,San Diego,CA,-117.112348,32.884418,3298634,4210.234,315.568,41740
6,75,San Francisco,CA,-122.436499,37.760569,873965,46.914,185.0,41860
6,77,San Joaquin,CA,-121.302289,37.924541,779233,1392.37,34.374,44700
6,79,San Luis Obispo,CA,-120.665804,35.341822,282424,3300.854,314.912,42020
6,81,San Mateo,CA,-122.339869,37.563575,764442,448.621,292.327,41860
6,83,Santa Barbara,CA,-120.1029,34.645128,448229,2733.936,1053.755,42200
6,85,Santa Clara,CA,-121.91109,37.315518,1936259,1291.084,12.971,41940
6,87,Santa Cruz,CA,-121.938739,36.986338,270861,445.108,162.053,42100
6,89,Shasta,CA,-122.300147,40.578348,182155,3775.52,71.876,39820
6,95,Solano,CA,-122.067272,38.236295,453491,821.829,84.409,46700
6,97,Sonoma,CA,-122.720368,38.412281,488863,1575.63,192.311,42220
6,99,Stanislaus,CA,-120.955882,37.618447,552878,1496.017,17.897,33700
6,101,Sutter,CA,-121.643973,39.137197,99633,602.696,5.719,49700
6,103,Tehama,CA,-122.219057,40.114795,65829,2949.137,13.038,39780
6,107,Tulare,CA,-119.23454,36.254134,473117,4823.899,14.387,47300
6,109,Tuolumne,CA,-120.325224,37.972006,55620,2220.911,53.54,43760
6,111,Ventura,CA,-119.025486,34.242809,843843,1840.789,365.772,37100
6,113,Yolo,CA,-121.718874,38.598163,216403,1014.733,8.833,40900
6,115,Yuba,CA,-121.510607,39.131905,81575,632.006,12.002,49700
8,1,Adams,CO,-104.920943,39.876949,519572,1166.735,16.873,19740
8,3,Alamosa,CO,-105.877629,37.481888,16376,722.645,0.645,10480
8,5,Arapahoe,CO,-104.838574,39.646582,655070,797.86,7.646,19740
8,13,Boulder,CO,-105.180215,40.062992,330758,726.383,14.088,14500
8,14,Broomfield,CO,-105.058131,39.939871,74112,32.968,0.58,19740
8,19,Clear Creek,CO,-105.532527,39.713458,9397,395.073,1.264,19740
8,21,Conejos,CO,-105.987323,37.199613,7461,1287.428,3.566,10480
8,23,Costilla,CO,-105.444296,37.29223,3499,1227.593,3.409,10480
8,31,Denver,CO,-104.950033,39.72486,715522,153.075,1.651,19740
8,35,Douglas,CO,-104.87357,39.482023,357978,840.245,2.624,19740
8,37,Eagle,CO,-106.733421,39.600516,55731,1684.469,7.324,20780
8,39,Elbert,CO,-104.52311,39.388552,26062,1850.836,0.171,19740
8,41,El Paso,CO,-104.75212,38.877314,730395,2126.416,2.73,17820
8,43,Fremont,CO,-105.214303,38.426941,48939,1533.87,0.863,15860
8,45,Garfield,CO,-107.549019,39.507103,61685,2947.43,8.377,40090
8,47,Gilpin,CO,-105.483217,39.856062,5808,150.023,0.364,19740
8,59,Jefferson,CO,-105.130309,39.72369,582910,764.38,9.68,19740
8,65,Lake,CO,-106.30747,39.244814,7436,376.919,6.993,14720
8,67,La Plata,CO,-107.803947,37.266021,55638,1689.682,9.901,20420
8,69,Larimer,CO,-105.089155,40.504402,359066,2595.77,38.218,22660
8,75,Logan,CO,-103.185977,40.64034,21528,1838.598,6.318,44540
8,77,Mesa,CO,-108.546673,39.092942,155703,3328.721,12.352,24300
8,81,Moffat,CO,-107.613977,40.51606,13292,4743.244,7.646,44460
8,85,Montrose,CO,-107.922349,38.481301,42679,2240.946,1.901,33940
8,87,Morgan,CO,-103.789071,40.254229,29111,1280.485,13.383,22820
8,93,Park,CO,-105.625362,39.305737,17390,2193.51,16.803,19740
8,97,Pitkin,CO,-106.908716,39.231757,17358,970.701,2.499,40090
8,101,Pueblo,CO,-104.646976,38.265773,168162,2386.591,11.174,39380
8,107,Routt,CO,-106.89741,40.455504,24829,2362.02,6.113,44460
8,117,Summit,CO,-106.055673,39.572383,31055,608.328,10.931,14720
8,119,Teller,CO,-105.139899,38.944782,24710,557.075,1.915,17820
8,123,Weld,CO,-104.807009,40.322426,328981,3984.941,31.804,24540
10,1,Kent,DE,-75.55913,39.127081,181851,586.061,212.27,20100
10,3,New Castle,DE,-75.63529,39.678852,570719,426.337,67.69,37980
10,5,Sussex,DE,-75.331473,38.661794,237378,936.156,260.266,42580
11,1,District of Columbia,DC,-77.013993,38.910168,689545,61.126,7.224,47900
12,1,Alachua,FL,-82.391582,29.664721,278468,875.635,93.174,23540
12,3,Baker,FL,-82.184536,30.286374,28259,585.23,3.74,27260
12,5,Bay,FL,-85.670601,30.21282,175216,758.642,708.079,37460
12,9,Brevard,FL,-80.690892,28.225111,606612,1014.971,542.065,37340
12,11,Broward,FL,-80.226976,26.135399,1944375,1202.731,105.596,33100
12,15,Charlotte,FL,-82.117344,26.953831,186847,681.119,266.117,39460
12,17,Citrus,FL,-82.455213,28.865585,153843,581.918,378.823,26140
12,19,Clay,FL,-81.800487,30.087758,218245,604.611,38.933,27260
12,21,Collier,FL,-81.69257,26.203653,375752,1996.95,608.192,34940
12,23,Columbia,FL,-82.664496,30.122022,69698,797.551,3.767,29380
12,27,DeSoto,FL,-81.87051,27.1868,33976,636.695,2.411,11580
12,31,Duval,FL,-81.620436,30.298646,995567,762.646,155.817,27260
12,33,Escambia,FL,-87.277106,30.485666,321905,656.993,468.718,37860
12,35,Flagler,FL,-81.222102,29.521471,115378,486.201,84.627,19660
12,39,Gadsden,FL,-84.571737,30.593632,43826,516.375,12.153,45220
12,41,Gilchrist,FL,-82.808104,29.705263,17864,349.695,5.545,23540
12,43,Glades,FL,-81.189563,26.897019,12126,806.822,180.423,17500
12,51,Hendry,FL,-81.216144,26.726562,39619,1155.95,33.428,17500
12,53,Hernando,FL,-82.497025,28.504446,194515,472.966,242.444,45300
12,55,Highlands,FL,-81.444816,27.462632,101235,1017.66,89.061,42700
12,57,Hillsborough,FL,-82.39857,27.967264,1459762,1021.889,310.051,45300
12,61,Indian River,FL,-80.440738,27.671332,159788,502.81,114.097,42680
12,65,Jefferson,FL,-83.89133,30.502892,14510,598.079,74.542,45220
12,69,Lake,FL,-81.750668,28.716853,383956,951.552,205.211,36740
12,71,Lee,FL,-81.851845,26.576019,760822,781.009,733.819,15980
12,73,Leon,FL,-84.269682,30.466102,292198,668.43,33.363,45220
12,75,Levy,FL,-82.662921,29.380119,42915,1118.223,472.733,23540
12,81,Manatee,FL,-82.520478,27.478313,399710,742.762,221.269,35840
12,83,Marion,FL,-82.126125,29.135817,375908,1588.422,74.24,36100
12,85,Martin,FL,-80.245706,27.145869,158431,543.822,209.303,38940
12,86,Miami-Dade,FL,-80.30118,25.769326,2701767,1899.904,489.417,33100
12,87,Monroe,FL,-81.244796,24.747427,82874,983.042,4306.523,28580
12,89,Nassau,FL,-81.63434,30.608318,90352,648.681,77.24,27260
12,91,Okaloosa,FL,-86.565567,30.551645,211668,930.194,316.495,18880
12,93,Okeechobee,FL,-80.824315,27.271934,39644,769.164,122.751,36380
12,95,Orange,FL,-81.388371,28.526077,1429908,902.024,101.411,36740
12,97,Osceola,FL,-81.39037,28.269056,388656,1327.546,178.431,36740
12,99,Palm Beach,FL,-80.143701,26.616523,1492191,1964.299,418.902,33100
12,101,Pasco,FL,-82.51024,28.258217,561891,746.619,268.139,45300
12,103,Pinellas,FL,-82.727015,27.900189,959107,273.705,588.837,45300
12,105,Polk,FL,-81.786864,28.042479,725046,1797.764,212.649,29460
12,107,Putnam,FL,-81.721195,29.60923,73321,728.364,98.557,37260
12,109,St. Johns,FL,-81.434924,29.991793,273425,600.644,220.89,27260
12,111,St. Lucie,FL,-80.357144,27.333592,329226,571.66,116.181,38940
12,113,Santa Rosa,FL,-87.035767,30.547226,188000,1012.401,209.767,37860
12,115,Sarasota,FL,-82.416033,27.201139,434006,556.002,419.55,35840
12,117,Seminole,FL,-81.310073,28.699171,470856,309.379,35.96,36740
12,119,Sumter,FL,-82.024754,28.83348,129752,557.133,22.693,48680
12,127,Volusia,FL,-81.126278,29.072351,553543,1101.312,331.126,19660
12,129,Wakulla,FL,-84.332906,30.187394,33764,606.418,310.469,45220
12,131,Walton,FL,-86.19019,30.543793,75305,1038.293,371.156,18880
12,133,Washington,FL,-85.62387,30.649403,25318,584.677,31.277,37460
13,3,Atkinson,GA,-82.878111,31.317495,8286,342.718,1.815,20060
13,9,Baldwin,GA,-83.243621,33.085482,43799,258.698,9.578,33300
13,13,Barrow,GA,-83.728597,33.992491,83505,161.037,1.896,12060
13,15,Bartow,GA,-84.829148,34.208535,108901,458.909,10.568,12060
13,17,Ben Hill,GA,-83.24814,31.727139,17194,250.118,3.789,22340
13,21,Bibb,GA,-83.690072,32.834626,157346,249.383,5.523,31420
13,25,Brantley,GA,-81.970017,31.217234,18021,443.235,3.974,15260
13,27,Brooks,GA,-83.54227,30.841118,16301,493.184,4.616,46660
13,29,Bryan,GA,-81.353407,31.958731,44738,437.562,16.894,42340
13,31,Bulloch,GA,-81.762378,32.415313,81099,675.963,12.675,44340
13,33,Burke,GA,-82.002339,33.103215,24596,827.037,7.946,12260
13,35,Butts,GA,-83.972919,33.294854,25434,183.69,4.351,12060
13,39,Camden,GA,-81.631375,30.812543,54768,630.359,151.548,28680
13,45,Carroll,GA,-85.043815,33.623974,119148,499.135,4.643,12060
13,47,Catoosa,GA,-85.172189,34.928524,67872,162.162,0.298,16860
13,51,Chatham,GA,-81.136643,32.043151,295291,433.119,196.855,42340
13,53,Chattahoochee,GA,-84.896374,32.342797,9565,248.737,2.424,17980
13,55,Chattooga,GA,-85.344042,34.496004,24965,313.327,0.22,44900
13,57,Cherokee,GA,-84.494745,34.170504,266620,421.082,13.293,12060
13,59,Clarke,GA,-83.381417,33.950374,128671,119.223,1.81,12020
13,63,Clayton,GA,-84.361187,33.551579,297595,141.653,2.688,12060
13,67,Cobb,GA,-84.557976,33.941801,766149,339.78,4.767,12060
13,69,Coffee,GA,-82.838428,31.515718,43092,592.27,10.38,20060
13,71,Colquitt,GA,-83.767871,31.179661,45898,547.037,9.602,34220
13,73,Columbia,GA,-82.175338,33.514668,156010,290.191,17.511,12260
13,77,Coweta,GA,-84.73346,33.377998,146158,441.07,4.896,12060
13,79,Crawford,GA,-83.930196,32.706715,12130,324.914,1.539,31420
13,81,Crisp,GA,-83.778048,31.949314,20128,272.68,8.266,18380
13,83,Dade,GA,-85.497925,34.881193,16251,173.972,0.189,16860
13,85,Dawson,GA,-84.102212,34.400246,26798,210.828,3.58,12060
13,87,Decatur,GA,-84.569999,30.889772,29367,597.239,25.929,12460
13,89,DeKalb,GA,-84.247613,33.790223,764382,267.74,3.42,12060
13,95,Dougherty,GA,-84.171202,31.574147,85790,328.644,5.928,10500
13,97,Douglas,GA,-84.735518,33.724594,144237,200.138,0.936,12060
