ZCTA3,LAT,LON,POP,ALAND,AWATER,ISCUS
10,42.2125312208976,-72.57315772581423,472839,1276.1299999999999,38.492000000000004,true
11,42.106353169527246,-72.5504450294265,171760,40.946,1.7160000000000002,true
12,42.45620431273305,-73.22862252605069,128186,902.0539999999999,16.827000000000005,true
13,42.588960974466644,-72.48821472412067,82872,786.4280000000001,27.535,true
14,42.580051690321746,-71.78238481505123,224307,474.26800000000003,14.954,true
15,42.21579235296892,-71.79738245715627,398528,796.7010000000001,34.589,true
16,42.26792048095287,-71.81000229202773,214258,56.688,2.064,true
17,42.32804608807671,-71.45393249394333,412856,377.368,14.443999999999999,true
18,42.63585385489237,-71.20405743472546,779194,393.493,16.015000000000004,true
19,42.5725356064654,-70.9079510759053,510471,343.0310000000001,54.709,true
20,42.14761971112981,-71.15066747376531,427635,386.26699999999994,25.638,true
21,42.34018477258765,-71.06823388437117,1414778,152.94299999999998,15.389000000000001,true
22,42.34770666772539,-71.09175115319097,32744,1.874,0.635,true
23,42.02951526184863,-70.9087436819993,475561,514.1839999999999,49.85600000000001,true
24,42.360562263409804,-71.2032370860895,438951,107.496,3.7489999999999997,true
25,41.60304024228218,-70.53963981351679,127562,307.062,125.76899999999996,true
26,41.704394876400194,-70.22834527776787,159709,265.789,59.48499999999999,true
27,41.77467234989895,-71.09977170737237,557621,583.5949999999999,51.499,true
28,41.71670750175055,-71.46191214978535,698642,924.9100000000002,119.12200000000003,true
29,41.81629327796584,-71.43760137257526,398808,108.72200000000001,9.134,true
30,42.84035547204647,-71.43750212406485,401291,901.5619999999998,18.279999999999998,true
31,42.989452597587544,-71.46417952969091,158345,103.39,3.2190000000000003,true
32,43.43822859151441,-71.59574475532204,196592,2304.8259999999996,111.761,true
33,43.25232299946623,-71.57244232016815,63697,192.155,5.423,true
34,42.899211566171395,-72.20879973125875,83722,763.9709999999999,23.438000000000002,true
35,44.47051638200175,-71.46700350917334,44471,2444.9970000000003,62.447,true
36,43.18139024374667,-72.3575582983325,13153,204.451,4.882,true
37,43.604125145307734,-72.17714755488106,78640,840.198,23.262999999999998,true
38,43.19683724382899,-70.9868540758087,337708,1524.8570000000004,97.03600000000003,true
39,43.20081001558629,-70.73688757000426,52482,204.039,27.409,true
40,43.68032395928088,-70.46275717093953,363613,1928.9289999999999,274.44100000000003,true
41,43.665991466397095,-70.27688217593986,118710,79.33699999999999,32.333,true
42,44.19791533303604,-70.28298963369647,179398,2125.3109999999997,78.19300000000001,true
43,44.29353325219136,-69.77093294257139,83738,727.1519999999999,55.185,true
44,44.96954748512852,-68.81138788135992,174327,6616.170000000002,523.499,true
45,43.963826266068004,-69.62142657819778,49555,483.5020000000001,135.54200000000003,true
46,44.62048214161003,-68.01494742824319,73427,2686.910000000001,967.094,true
47,46.70319537998961,-68.12812339386697,67315,4544.911,145.70600000000002,true
48,44.164397022555654,-69.13519421312186,40788,357.097,172.14700000000002,true
