CBSA,NAME,LON,LAT,POP,ALAND,AWATER,IS_MSA,CSA,ISCUS
40900,"Sacramento-Roseville-Folsom, CA",-121.33159529731134,38.63061470692656,2397382,5094.929,211.596,true,472,true
23420,"Fresno, CA",-119.79797873645826,36.783179852213344,1164909,8095.3009999999995,69.066,true,260,true
21700,"Eureka-Arcata, CA",-124.088127,40.757636,136463,3568.188,484.066,false,,true
20940,"El Centro, CA",-115.540049,32.841599,179702,4175.539,305.104,true,,true
13860,"Bishop, CA",-118.26856699999999,37.171422,19016,10197.261,29.838,false,,true
12540,"Bakersfield-Delano, CA",-118.941786,35.369809,909235,8134.646,30.273,true,,true
25260,"Hanford-Corcoran, CA",-119.72692199999999,36.252657,152486,1390.972,1.222,true,260,true
17340,"Clearlake, CA",-122.732922,38.976233,68163,1256.551,72.876,false,,true
45000,"Susanville, CA",-120.58446700000002,40.393749,32730,4541.34,178.775,false,,true
31080,"Los Angeles-Long Beach-Anaheim, CA",-118.15222888242934,33.986961188575364,13200998,4852.1230000000005,847.029,true,348,true
46380,"Ukiah, CA",-123.394154,39.285646,91601,3506.824,371.33,false,,true
32900,"Merced, CA",-120.62894400000002,37.274812,281202,1938.004,40.648,true,488,true
41500,"Salinas, CA",-121.64669199999999,36.614681,439035,3281.723,489.498,true,,true
34900,"Napa, CA",-122.319983,38.325108,138019,748.279,40.256,true,488,true
46020,"Truckee-Grass Valley, CA",-120.91520599999998,39.220021,102241,957.76,16.036,false,472,true
40140,"Riverside-San Bernardino-Ontario, CA",-117.21077151685051,33.98505071164795,4599839,27277.28,131.124,true,348,true
41940,"San Jose-Sunnyvale-Santa Clara, CA",-121.89467072575944,37.30035396998502,2000468,2679.736,14.793,true,488,true
41740,"San Diego-Chula Vista-Carlsbad, CA",-117.11234800000001,32.884418,3298634,4210.234,315.568,true,,true
44700,"Stockton-Lodi, CA",-121.30228900000002,37.924541,779233,1392.37,34.374,true,488,true
42020,"San Luis Obispo-Paso Robles, CA",-120.665804,35.341822,282424,3300.854,314.912,true,,true
42200,"Santa Maria-Santa Barbara, CA",-120.1029,34.645128,448229,2733.936,1053.755,true,,true
42100,"Santa Cruz-Watsonville, CA",-121.93873900000001,36.986338,270861,445.108,162.053,true,488,true
39820,"Redding, CA",-122.30014699999998,40.578348,182155,3775.52,71.876,true,454,true
46700,"Vallejo, CA",-122.06727199999999,38.23629499999999,453491,821.829,84.409,true,488,true
42220,"Santa Rosa-Petaluma, CA",-122.720368,38.412281,488863,1575.63,192.311,true,,true
33700,"Modesto, CA",-120.955882,37.618447,552878,1496.017,17.897,true,488,true
49700,"Yuba City, CA",-121.58393270927075,39.13481468299413,181208,1234.702,17.721,true,472,true
39780,"Red Bluff, CA",-122.21905700000002,40.114795,65829,2949.137,13.038,false,454,true
47300,"Visalia, CA",-119.23454000000001,36.254134,473117,4823.899,14.387,true,,true
43760,"Sonora, CA",-120.32522400000002,37.972006,55620,2220.911,53.54,false,,true
37100,"Oxnard-Thousand Oaks-Ventura, CA",-119.025486,34.242809,843843,1840.789,365.772,true,348,true
19740,"Denver-Aurora-Centennial, CO",-104.95226841172457,39.70484113649575,2963821,8344.705,57.65599999999999,true,216,true
10480,"Alamosa, CO",-105.85210879058897,37.38056860005122,27336,3237.666,7.62,false,,true
14500,"Boulder, CO",-105.180215,40.062992,330758,726.383,14.088,true,216,true
20780,"Edwards, CO",-106.73342099999999,39.600516,55731,1684.469,7.324,false,233,true
17820,"Colorado Springs, CO",-104.7647979892372,38.879521817826664,755105,2683.491,4.645,true,,true
15860,"Cañon City, CO",-105.214303,38.426941,48939,1533.87,0.863,false,444,true
40090,"Rifle, CO",-107.40797401365921,39.446636470794374,79043,3918.131,10.876000000000001,false,233,true
14720,"Breckenridge, CO",-106.104501793794,39.50910059413889,38491,985.247,17.924,false,,true
20420,"Durango, CO",-107.803947,37.266021,55638,1689.682,9.901,false,,true
22660,"Fort Collins-Loveland, CO",-105.089155,40.504402,359066,2595.77,38.218,true,,true
44540,"Sterling, CO",-103.185977,40.64034,21528,1838.598,6.318,false,,true
24300,"Grand Junction, CO",-108.54667299999998,39.092942,155703,3328.721,12.352,true,,true
44460,"Steamboat Springs, CO",-107.14711520977743,40.4766186179796,38121,7105.263999999999,13.759,false,,true
33940,"Montrose, CO",-107.92234900000001,38.481301,42679,2240.946,1.901,false,,true
22820,"Fort Morgan, CO",-103.78907099999999,40.254229,29111,1280.485,13.383,false,,true
39380,"Pueblo, CO",-104.64697599999998,38.265773,168162,2386.591,11.174,true,444,true
24540,"Greeley, CO",-104.80700900000001,40.322426,328981,3984.941,31.804,true,216,true
20100,"Dover, DE",-75.55913000000001,39.127081,181851,586.061,212.27,true,428,true
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",-75.24615264741912,39.97675936633216,6245051,4603.204000000001,267.15599999999995,true,428,true
42580,"Seaford, DE",-75.331473,38.661794,237378,936.156,260.266,false,,true
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",-77.21000864086722,38.89589672814421,6278542,6033.857000000001,302.461,true,548,true
23540,"Gainesville, FL",-82.4479086859312,29.630853485940925,339247,2343.553,571.452,true,264,true
27260,"Jacksonville, FL",-81.62397889145478,30.234945174648537,1605848,3201.812,496.62,true,300,true
37460,"Panama City-Panama City Beach, FL",-85.66472411146219,30.267939871911995,200534,1343.319,739.356,true,,true
37340,"Palm Bay-Melbourne-Titusville, FL",-80.690892,28.225111000000002,606612,1014.971,542.065,true,,true
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",-80.23957430267929,26.091231463258836,6138333,5066.934,1013.915,true,370,true
39460,"Punta Gorda, FL",-82.117344,26.953831,186847,681.119,266.117,true,412,true
26140,"Homosassa Springs, FL",-82.455213,28.865585,153843,581.918,378.823,true,,true
34940,"Naples-Marco Island, FL",-81.69256999999999,26.203653,375752,1996.95,608.192,true,163,true
29380,"Lake City, FL",-82.664496,30.122022,69698,797.551,3.767,false,264,true
11580,"Arcadia, FL",-81.87051,27.1868,33976,636.695,2.411,false,412,true
37860,"Pensacola-Ferry Pass-Brent, FL",-87.18816081673364,30.50836293374256,509905,1669.394,678.485,true,,true
19660,"Deltona-Daytona Beach-Ormond Beach, FL",-81.14274601239391,29.14981690009882,668921,1587.513,415.753,true,422,true
45220,"Tallahassee, FL",-84.29537198118615,30.45754784610901,384298,2389.302,430.527,true,533,true
17500,"Clewiston, FL",-81.2099221371812,26.7665071460431,51745,1962.772,213.851,false,163,true
45300,"Tampa-St. Petersburg-Clearwater, FL",-82.52362333323941,28.031397571683712,3175275,2515.179,1409.471,true,,true
42700,"Sebring, FL",-81.44481599999999,27.462632,101235,1017.66,89.061,true,,true
